"Date","Manip","Area","AirTemperature","PAR","RH","VPD"
2013-01-23 14:45:00,"ZA13","02_p",17.8,0,45.1,1.12290814671908
2013-01-23 14:45:00,"ZA13","04_p",18.4,13.2,43.7,1.19578802183455
2013-01-23 14:45:00,"ZA13","05_p",18.4,15.9,42.6,1.21915155334463
2013-01-23 14:45:00,"ZA13","06_p",18.5,14.4,42.9,1.22040375678287
2013-01-23 15:00:00,"ZA13","01_p",19,3.2,42.1,1.27679949655353
2013-01-23 15:00:00,"ZA13","02_p",19.2,0,41,1.31738351227628
2013-01-23 15:00:00,"ZA13","04_p",19.4,7.7,40.6,1.3429331967226
2013-01-23 15:00:00,"ZA13","05_p",19.5,10.9,39.5,1.37633483249227
2013-01-23 15:00:00,"ZA13","06_p",19.1,10.6,40.8,1.31363564259178
2013-01-23 15:15:00,"ZA13","01_p",19.1,3.1,41.8,1.29144585133179
2013-01-23 15:15:00,"ZA13","02_p",19.2,0,40.9,1.31961636568691
2013-01-23 15:15:00,"ZA13","04_p",19.3,7.8,41.6,1.31213335111504
2013-01-23 15:15:00,"ZA13","05_p",19.2,10.8,40.4,1.3307806327401
2013-01-23 15:15:00,"ZA13","06_p",19,9.9,41.4,1.29223575989701
2013-01-23 15:30:00,"ZA13","01_p",18.3,1.4,44.1,1.17986926656334
2013-01-23 15:30:00,"ZA13","02_p",18.7,0,43.3,1.2271211606762
2013-01-23 15:30:00,"ZA13","04_p",18.6,5.4,43.6,1.21301468416703
2013-01-23 15:30:00,"ZA13","05_p",18.7,8.7,42.3,1.248763509189
2013-01-23 15:30:00,"ZA13","06_p",18.8,7.2,42.5,1.25223999609907
2013-01-23 15:45:00,"ZA13","01_p",18.1,0,45.3,1.14013335897564
2013-01-23 15:45:00,"ZA13","02_p",18,0,44.8,1.14334518757564
2013-01-23 15:45:00,"ZA13","04_p",18.3,1.5,44.3,1.17564790961678
2013-01-23 15:45:00,"ZA13","05_p",18.4,3.6,42.7,1.21702759593463
2013-01-23 15:45:00,"ZA13","06_p",18.8,3.5,42.4,1.25441780478794
2013-01-23 16:00:00,"ZA13","01_p",17.9,0.1,45.8,1.11559210382211
2013-01-23 16:00:00,"ZA13","02_p",17.9,0,45.3,1.12588354389427
2013-01-23 16:00:00,"ZA13","04_p",18.1,0.6,44.8,1.150555053299
2013-01-23 16:00:00,"ZA13","05_p",18.2,1.6,43.7,1.18087696395458
2013-01-23 16:00:00,"ZA13","06_p",18.5,1.5,43.2,1.21399182811326
2013-01-23 16:15:00,"ZA13","01_p",18.2,0,44.3,1.16829212952523
2013-01-23 16:15:00,"ZA13","02_p",18.3,0,43.9,1.1840906235099
2013-01-23 16:15:00,"ZA13","04_p",18.6,0.2,43.3,1.21946688993387
2013-01-23 16:15:00,"ZA13","05_p",18.7,0.7,42,1.25525621374285
2013-01-23 16:15:00,"ZA13","06_p",19.1,1.5,41.1,1.30697870521378
2013-01-23 16:30:00,"ZA13","01_p",18.8,0,42.4,1.25441780478794
2013-01-23 16:30:00,"ZA13","02_p",18.6,0,42,1.24742644825687
2013-01-23 16:30:00,"ZA13","04_p",19.1,0,41.6,1.29588380958379
2013-01-23 16:30:00,"ZA13","05_p",19,0.2,40.9,1.30326166228521
2013-01-23 16:30:00,"ZA13","06_p",19,0.8,41.2,1.29664612085229
2013-01-23 16:45:00,"ZA13","01_p",17.8,0,45,1.12495351674953
2013-01-23 16:45:00,"ZA13","02_p",17.8,0,44.5,1.1351803669018
2013-01-23 16:45:00,"ZA13","04_p",18.1,0,44.3,1.16097674762236
2013-01-23 16:45:00,"ZA13","05_p",18,0,43.1,1.17855690530895
